Vehicle Histogram (veh/h - for PTV Vissim),nan,nan,Av. Húsares de Junín (OE),Av. Garzón (SN),nan,Divided by 4 (veh/min),Av. Garzón (SN),nan,nan,nan,스페인어(원본)	,한국어 번역	,설명
FECHA,15 minutos,Horario,PM237-0-04,PM237-0-07,Volumen Total,PM237-0-04,PM237-0-07,Volumen Total,0,0,FECHA,날짜,데이터가 수집된 날짜
2024-12-27 00:00:00,1,00:00:00,408,160,568,102,40,142,0,0,15 minutos,간격(15분),15분 단위로 수집된 시간 슬롯
0,2,00:15:00,332,120,452,83,30,113,0,0,Horario,시간,해당 시간대
0,3,00:30:00,320,164,484,80,41,121,0,0,Av. Cordova (NS) 등,코르도바 대로 (남→북) 등,특정 방향의 교통량
0,4,00:45:00,268,112,380,67,28,95,0,0,Volumen Total,총 차량 수,각 15분 동안의 전체 차량 수
0,1,01:00:00,212,88,300,53,22,75,0,0,Divided by 4 (veh/min)	,1분당 차량 수로 환산한 값	,참고용 산출 값
0,2,01:15:00,228,60,288,57,15,72,0,0,0,0,0
0,3,01:30:00,164,64,228,41,16,57,0,0,0,0,0
0,4,01:45:00,184,56,240,46,14,60,0,0,0,0,0
0,1,02:00:00,108,20,128,27,5,32,0,0,0,0,0
0,2,02:15:00,128,48,176,32,12,44,0,0,0,0,0
0,3,02:30:00,112,36,148,28,9,37,0,0,0,0,0
0,4,02:45:00,104,16,120,26,4,30,0,0,0,0,0
0,1,03:00:00,48,32,80,12,8,20,0,0,0,0,0
0,2,03:15:00,84,24,108,21,6,27,0,0,0,0,0
0,3,03:30:00,64,36,100,16,9,25,0,0,0,0,0
0,4,03:45:00,120,24,144,30,6,36,0,0,0,0,0
0,1,04:00:00,120,16,136,30,4,34,0,0,0,0,0
0,2,04:15:00,92,44,136,23,11,34,0,0,0,0,0
0,3,04:30:00,92,24,116,23,6,29,0,0,0,0,0
0,4,04:45:00,108,12,120,27,3,30,0,0,0,0,0
0,1,05:00:00,124,40,164,31,10,41,0,0,0,0,0
0,2,05:15:00,100,40,140,25,10,35,0,0,0,0,0
0,3,05:30:00,204,40,244,51,10,61,0,0,0,0,0
0,4,05:45:00,308,68,376,77,17,94,0,0,0,0,0
0,1,06:00:00,412,120,532,103,30,133,0,0,0,0,0
0,2,06:15:00,460,112,572,115,28,143,0,0,0,0,0
0,3,06:30:00,600,228,828,150,57,207,0,0,0,0,0
0,4,06:45:00,728,224,952,182,56,238,0,0,0,0,0
0,1,07:00:00,1008,324,1332,252,81,333,0,0,0,0,0
0,2,07:15:00,896,504,1400,224,126,350,0,0,0,0,0
0,3,07:30:00,1088,568,1656,272,142,414,0,0,0,0,0
0,4,07:45:00,1208,684,1892,302,171,473,0,0,0,0,0
0,1,08:00:00,1112,656,1768,278,164,442,0,0,0,0,0
0,2,08:15:00,1104,716,1820,276,179,455,0,0,0,0,0
0,3,08:30:00,1104,732,1836,276,183,459,0,0,0,0,0
0,4,08:45:00,1100,760,1860,275,190,465,0,0,0,0,0
0,1,09:00:00,1108,804,1912,277,201,478,0,0,0,0,0
0,2,09:15:00,1072,816,1888,268,204,472,0,0,0,0,0
0,3,09:30:00,924,768,1692,231,192,423,0,0,0,0,0
0,4,09:45:00,944,808,1752,236,202,438,0,0,0,0,0
0,1,10:00:00,1048,760,1808,262,190,452,0,0,0,0,0
0,2,10:15:00,960,992,1952,240,248,488,0,0,0,0,0
0,3,10:30:00,996,792,1788,249,198,447,0,0,0,0,0
0,4,10:45:00,936,956,1892,234,239,473,0,0,0,0,0
0,1,11:00:00,1136,932,2068,284,233,517,0,0,0,0,0
0,2,11:15:00,1104,852,1956,276,213,489,0,0,0,0,0
0,3,11:30:00,988,980,1968,247,245,492,0,0,0,0,0
0,4,11:45:00,1068,940,2008,267,235,502,0,0,0,0,0
0,1,12:00:00,988,924,1912,247,231,478,0,0,0,0,0
0,2,12:15:00,1088,988,2076,272,247,519,0,0,0,0,0
0,3,12:30:00,928,992,1920,232,248,480,0,0,0,0,0
0,4,12:45:00,992,904,1896,248,226,474,0,0,0,0,0
0,1,13:00:00,1040,1004,2044,260,251,511,0,0,0,0,0
0,2,13:15:00,1132,840,1972,283,210,493,0,0,0,0,0
0,3,13:30:00,896,960,1856,224,240,464,0,0,0,0,0
0,4,13:45:00,936,984,1920,234,246,480,0,0,0,0,0
0,1,14:00:00,1120,1056,2176,280,264,544,0,0,0,0,0
0,2,14:15:00,1108,856,1964,277,214,491,0,0,0,0,0
0,3,14:30:00,1072,988,2060,268,247,515,0,0,0,0,0
0,4,14:45:00,988,996,1984,247,249,496,0,0,0,0,0
0,1,15:00:00,1148,972,2120,287,243,530,0,0,0,0,0
0,2,15:15:00,1144,972,2116,286,243,529,0,0,0,0,0
0,3,15:30:00,1088,1020,2108,272,255,527,0,0,0,0,0
0,4,15:45:00,1104,1112,2216,276,278,554,0,0,0,0,0
0,1,16:00:00,1016,1044,2060,254,261,515,0,0,0,0,0
0,2,16:15:00,896,1092,1988,224,273,497,0,0,0,0,0
0,3,16:30:00,872,1080,1952,218,270,488,0,0,0,0,0
0,4,16:45:00,828,984,1812,207,246,453,0,0,0,0,0
0,1,17:00:00,1048,932,1980,262,233,495,0,0,0,0,0
0,2,17:15:00,936,1116,2052,234,279,513,0,0,0,0,0
0,3,17:30:00,924,940,1864,231,235,466,0,0,0,0,0
0,4,17:45:00,964,948,1912,241,237,478,0,0,0,0,0
0,1,18:00:00,984,980,1964,246,245,491,0,0,0,0,0
0,2,18:15:00,1068,964,2032,267,241,508,0,0,0,0,0
0,3,18:30:00,1048,1120,2168,262,280,542,0,0,0,0,0
0,4,18:45:00,992,1020,2012,248,255,503,0,0,0,0,0
0,1,19:00:00,940,1104,2044,235,276,511,0,0,0,0,0
0,2,19:15:00,968,1128,2096,242,282,524,0,0,0,0,0
0,3,19:30:00,1044,1124,2168,261,281,542,0,0,0,0,0
0,4,19:45:00,1128,1240,2368,282,310,592,0,0,0,0,0
0,1,20:00:00,1028,1128,2156,257,282,539,0,0,0,0,0
0,2,20:15:00,1092,956,2048,273,239,512,0,0,0,0,0
0,3,20:30:00,1088,740,1828,272,185,457,0,0,0,0,0
0,4,20:45:00,940,788,1728,235,197,432,0,0,0,0,0
0,1,21:00:00,1032,984,2016,258,246,504,0,0,0,0,0
0,2,21:15:00,832,916,1748,208,229,437,0,0,0,0,0
0,3,21:30:00,732,612,1344,183,153,336,0,0,0,0,0
0,4,21:45:00,896,588,1484,224,147,371,0,0,0,0,0
0,1,22:00:00,952,524,1476,238,131,369,0,0,0,0,0
0,2,22:15:00,652,504,1156,163,126,289,0,0,0,0,0
0,3,22:30:00,716,428,1144,179,107,286,0,0,0,0,0
0,4,22:45:00,868,352,1220,217,88,305,0,0,0,0,0
0,1,23:00:00,760,340,1100,190,85,275,0,0,0,0,0
